tipo,targa,dataInizioParcheggio,dataFineParcheggio
Auto,AB 123 CD,2025-01-28 19:56:13.920253,
Auto,EF 456 GH,2025-01-28 19:56:13.920253,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
Auto,,,
